name,co2,water,land,cost,energy,biodiversity,jobs
Rajasthan Solar Park,80000,2000,3.0,100,120000,4,250
Delhi Metro Phase IV,300000,5000,0.8,2000,500000,7,1500
Mumbai Coastal Road,750000,12000,1.5,1500,400000,8,2000
Karnataka Wind Corridor,120000,3000,5.0,180,180000,3,300
Hyderabad Waste-to-Energy Plant,500000,15000,2.0,300,100000,6,400
Chennai Seawater Desalination,250000,50000,1.0,350,80000,5,220
Assam Micro Hydro Plant,40000,10000,0.7,45,40000,2,80
Gujarat Biogas Facility,60000,500,0.3,25,20000,3,120
Punjab Agroforestry Scheme,90000,8000,4.0,60,0,2,350
Odisha Mangrove Restoration,0,2000,2.5,15,0,1,150
Tamil Nadu Rooftop Solar,40000,1000,0.2,10,50000,1,100
Kerala Rainwater Harvesting,0,60000,0.1,5,0,1,50